sample	bgc_class	abund
ERR2604100	T1PKS	1.08473221422862
ERR2604100	T3PKS	3.24746351202398
ERR2604100	terpene	31.9406603292132
ERR2604101	arylpolyene	1.1107716828264
ERR2604101	betalactone	2.12600284700204
ERR2604101	hserlactone	2.17088492570768
ERR2604101	RiPP-like	1.06609151132337
ERR2604101	T3PKS	1.0439672801636
ERR2604101	terpene	19.0062548307202
ERR2604102	betalactone	1.04612326043738
ERR2604102	hserlactone	1.00510705165979
ERR2604102	T3PKS	1.04032406554962
ERR2604102	terpene	7.29443422704107
ERR2604103	arylpolyene	1.06563948390329
ERR2604103	betalactone	2.09410416195179
ERR2604103	hserlactone	2.1672478956992
ERR2604103	redox-cofactor	2.06671881074441
ERR2604103	RiPP-like	1.08646808510638
ERR2604103	T3PKS	1.04349686252139
ERR2604103	terpene	10.5452595868163
ERR2604104	arylpolyene	1.08151990077799
ERR2604104	betalactone	2.14985665275483
ERR2604104	hserlactone	1.09160527336177
ERR2604104	redox-cofactor	1.01978791895474
ERR2604104	RiPP-like	1.10850111856823
ERR2604104	T3PKS	1.05651520841157
ERR2604104	terpene	26.5368092329152
ERR2604105	betalactone	1.08214371161975
ERR2604105	terpene	3.10849597265365
ERR2604106	arylpolyene	1.01978424425779
ERR2604106	betalactone	3.11785682512076
ERR2604106	nucleoside	1.03380606860158
ERR2604106	resorcinol	1.03384543398581
ERR2604106	RiPP-like	2.04158575805752
ERR2604106	siderophore	1.01635336761359
ERR2604106	T1PKS	1.03295096716149
ERR2604106	terpene	15.8475230765031
ERR2604107	betalactone	1.06902518746395
ERR2604107	NRPS-like	1.00733321409408
ERR2604107	redox-cofactor	1.05333093912731
ERR2604107	RiPP-like	1.00928557892742
ERR2604107	T1PKS	1.02006216445324
ERR2604107	terpene	8.23408824752814
ERR2604108	betalactone	2.12721232205821
ERR2604108	phosphonate	1.06459340023954
ERR2604108	RRE-containing	2.239235122555
ERR2604108	terpene	7.2403871673671
ERR2604109	betalactone	5.33002381006465
ERR2604109	phosphonate	1.07966784796053
ERR2604109	terpene	5.14743372567643
ERR2604110	phosphonate	1.0500147972773
ERR2604110	terpene	2.06045429620748
