sample	gcf_id	abund
ERR2604071	16	1.04183496826313
ERR2604071	97	3.08552624974567
ERR2604071	369	1.03416494517718
ERR2604071	412	1.01119288561791
ERR2604071	527	1.01401006711409
ERR2604073	3	1.06926210955183
ERR2604073	16	3.12557237966895
ERR2604073	210	1.0821720326766
ERR2604073	334	1.09847298355521
ERR2604073	369	1.06460636739044
ERR2604073	391	1.06867557494773
ERR2604073	454	1.07977006857604
ERR2604073	527	2.10348071441194
ERR2604073	541	1.06897456071335
ERR2604073	690	1.0647386196071
ERR2604074	3	1.07368095630668
ERR2604074	16	1.03009708737864
ERR2604074	78	1.07721878656193
ERR2604074	97	1.05537178196462
ERR2604074	192	1.10209003215434
ERR2604074	241	2.07240999893127
ERR2604074	334	5.17451990499602
ERR2604074	690	4.15696127212286
ERR2604074	838	1.10128194919978
ERR2604075	51	4.06431593677283
ERR2604075	97	1.11062782109151
ERR2604075	210	2.09145226651985
ERR2604075	241	5.1849300218433
ERR2604075	334	4.09876606411763
ERR2604075	391	4.16634833346286
ERR2604075	527	2.07152363698474
ERR2604075	541	1.10538937271236
ERR2604075	690	2.05424361300722
ERR2604075	809	1.01580281856242
ERR2604075	1088	1.01031746031746
ERR2604076	3	1.08401934991089
ERR2604076	31	1.07454729294972
ERR2604076	241	2.09530421722981
ERR2604076	334	2.1316968129273
ERR2604076	349	1.01220482886707
ERR2604076	391	6.26489443945791
ERR2604076	454	1.07436123348018
ERR2604076	541	1.0794930875576
ERR2604076	572	1.07423288221895
ERR2604077	16	1.02677071478892
ERR2604077	31	1.06791489361702
ERR2604077	241	2.09742682980335
ERR2604077	334	1.08389311837588
ERR2604077	391	2.16122011506773
ERR2604077	454	1.05980650835532
ERR2604077	541	2.14927746991813
ERR2604077	690	1.03252032520325
ERR2604078	3	2.12420963179732
ERR2604078	31	1.05600379686758
ERR2604078	97	1.05737323616065
ERR2604078	182	1.04275755228505
ERR2604078	241	1.03363740022805
ERR2604078	334	2.04604902267637
ERR2604078	391	5.25757151407877
ERR2604078	527	2.10711048793261
ERR2604079	31	1.07026476578411
ERR2604079	80	3.17087145279087
ERR2604079	210	1.03789046348156
ERR2604079	241	1.08279623202776
ERR2604079	250	1.07378379891396
ERR2604079	334	2.14405667444697
ERR2604079	349	1.04091341579448
ERR2604079	369	1.09322834645669
ERR2604079	391	7.30343640839639
ERR2604079	446	1.08173941474579
ERR2604079	465	1.08044484984564
ERR2604079	479	1.07353293413174
ERR2604079	541	1.05524861878453
ERR2604079	572	1.06081311923471
ERR2604079	690	1.03785795178774
ERR2604079	714	1.02705944441779
ERR2604079	717	1.06550218340611
ERR2604079	806	1.03678485427219
ERR2604080	3	1.04079734991573
ERR2604080	45	1.0707407760511
ERR2604080	80	3.13045985010627
ERR2604080	133	1.04930166429706
ERR2604080	165	1.04274933345384
ERR2604080	192	1.06728015113657
ERR2604080	210	1.06769265083082
ERR2604080	321	1.05115189379149
ERR2604080	334	4.18569572271354
ERR2604080	349	1.03301282051282
ERR2604080	369	2.34592671227491
ERR2604080	391	13.6465544290783
ERR2604080	465	1.06662792949835
ERR2604080	541	1.08043975182323
ERR2604080	806	1.0132874536792
ERR2604081	80	1.05343287951984
ERR2604081	106	1.00616951476277
ERR2604081	133	1.04206477976083
ERR2604081	182	1.09635935518928
ERR2604081	192	1.05442135413493
ERR2604081	321	2.07102785200727
ERR2604081	334	3.10868843822998
ERR2604081	349	2.08319881787382
ERR2604081	369	1.03707627118644
ERR2604081	391	12.6430049207437
ERR2604081	454	1.06358728254349
ERR2604081	465	1.05500502656901
ERR2604081	479	1.0353161300382
ERR2604081	541	1.10403323524321
ERR2604081	690	1.03200299193247
ERR2604081	809	1.05753205128205
ERR2604081	948	1.00926347760061
ERR2604082	80	1.03337306317044
ERR2604082	241	1.05015777018144
ERR2604082	334	1.05059114654935
ERR2604082	391	4.31324836425509
ERR2604082	465	1.04907161803714
ERR2604082	477	1.05131128848347
ERR2604082	807	1.04895897753041
ERR2604082	809	1.05220498518389
ERR2604083	80	1.04045579012455
ERR2604083	97	1.03088455772114
ERR2604083	241	2.08351501274596
ERR2604083	319	1.06102011372316
ERR2604083	334	1.03083971171574
ERR2604083	349	1.02632898696088
ERR2604083	391	3.10893652769885
ERR2604083	465	1.05206456312541
ERR2604083	877	1.04032766225583
ERR2604083	926	1.07348883872586
ERR2604083	1015	1.032983938791
ERR2604084	16	1.0682379775708
ERR2604084	97	1.0427764910249
ERR2604084	241	1.0355834316587
ERR2604084	391	1.04532304725169
ERR2604084	500	1.01482961716449
ERR2604084	527	1.06417112299465
ERR2604084	1045	1.04398554969732
ERR2604085	97	2.06375375365167
ERR2604085	241	1.04582311898925
ERR2604085	277	1.07363869747331
ERR2604085	369	2.28176029183029
ERR2604085	391	1.04488282801536
ERR2604085	527	2.06650295345023
ERR2604086	2	1.05086603814953
ERR2604086	16	2.04907354565492
ERR2604086	67	1.02862479570395
ERR2604086	97	2.08210031137158
ERR2604086	133	1.02957707546301
ERR2604086	153	1.11111111111111
ERR2604086	241	1.28788461538462
ERR2604086	277	1.06046372921792
ERR2604086	330	1.01571001088139
ERR2604086	369	1.03866624921728
ERR2604086	391	2.06664437920988
ERR2604086	500	1.00851698073033
ERR2604086	527	1.02372954349699
ERR2604086	690	1.02872988907765
ERR2604087	16	2.06672661050133
ERR2604087	78	1.05283757338552
ERR2604087	277	1.03160387070208
ERR2604087	527	1.0394437810562
ERR2604087	690	2.11587815640766
ERR2604087	838	1.05358706903416
ERR2604088	16	2.08513769688644
ERR2604088	78	1.04801880456682
ERR2604088	277	2.09778064481547
ERR2604088	321	1.06282926829268
ERR2604088	369	1.04992366412214
ERR2604088	454	1.04254672542167
ERR2604088	527	1.01802983117522
ERR2604088	690	1.04369918699187
ERR2604090	17	1.14010695187166
ERR2604090	31	1.07117208360188
ERR2604090	78	1.04595386305383
ERR2604090	97	1.07272727272727
ERR2604090	133	1.05921745673439
ERR2604090	241	5.256216501137
ERR2604090	334	5.27234000854824
ERR2604090	349	1.06483095155106
ERR2604090	391	8.46171999134329
ERR2604090	410	1.03753619959902
ERR2604090	454	2.09908989595577
ERR2604090	497	1.09522260433126
ERR2604090	541	2.16713204142611
ERR2604090	572	1.10274802500848
ERR2604090	967	1.1005832395375
ERR2604090	1026	2.14410517999246
ERR2604091	3	3.15981571984365
ERR2604091	14	1.09860006042905
ERR2604091	31	1.0497288353709
ERR2604091	79	1.03332085361288
ERR2604091	80	1.04803262955854
ERR2604091	97	4.09984664122539
ERR2604091	192	1.03121651894419
ERR2604091	241	5.26533896753143
ERR2604091	334	3.24698385149097
ERR2604091	369	1.04250505050505
ERR2604091	391	10.6217240418925
ERR2604091	412	2.03911236843843
ERR2604091	497	1.10369818196877
ERR2604091	541	2.15590546076901
ERR2604091	553	1.04258224705152
ERR2604091	572	1.09808243332599
ERR2604091	690	2.0542147363953
ERR2604091	714	2.10634786991471
ERR2604091	720	1.02373274861344
ERR2604091	931	2.09440129922939
ERR2604091	1015	3.11603671664067
ERR2604092	3	1.01343696482677
ERR2604092	16	1.05382695507488
ERR2604092	80	2.10570608455846
ERR2604092	192	1.08368570233725
ERR2604092	334	4.24413279864563
ERR2604092	369	1.20501081012336
ERR2604092	391	5.21309661676751
ERR2604092	465	1.06071313845165
ERR2604092	527	2.06837541193816
ERR2604092	541	1.09105735254145
ERR2604092	948	1.04574455278681
ERR2604093	3	1.01162434995411
ERR2604093	17	2.11809961562456
ERR2604093	51	1.0204011657809
ERR2604093	80	3.14097427903733
ERR2604093	241	2.08491095493235
ERR2604093	334	6.2589386196958
ERR2604093	349	1.01726324002731
ERR2604093	369	1.06604947876147
ERR2604093	391	10.479101988079
ERR2604093	465	1.10731579636173
ERR2604093	541	1.10212623472292
ERR2604093	681	1.04803866889756
ERR2604093	690	1.03052051616645
ERR2604093	714	1.03051384157751
ERR2604093	806	1.04242222591915
ERR2604093	807	1.09366658578015
ERR2604093	809	1.10046205544665
ERR2604094	3	3.14331636325579
ERR2604094	14	1.03415523361796
ERR2604094	31	1.04825934794621
ERR2604094	80	4.16551757000631
ERR2604094	106	1.03415523361796
ERR2604094	240	1.03204581454856
ERR2604094	241	3.12574402157346
ERR2604094	334	5.24008057425801
ERR2604094	349	2.07871370090762
ERR2604094	391	11.5589229453027
ERR2604094	454	2.08239137849356
ERR2604094	465	1.08712082524768
ERR2604094	541	1.08928244274809
ERR2604094	572	1.08487219139452
ERR2604094	690	1.0619409544491
ERR2604094	807	1.09129603891591
ERR2604094	877	1.03888603696099
ERR2604094	1026	1.02170320322753
ERR2604094	1378	1.0644018887723
ERR2604095	3	1.05915664749956
ERR2604095	78	1.05838000861698
ERR2604095	88	1.06191677175284
ERR2604095	97	1.03316529583444
ERR2604095	241	1.0974518839794
ERR2604095	277	2.14421124290663
ERR2604095	334	6.19239306418806
ERR2604095	349	1.05630443799253
ERR2604095	369	1.22204322727883
ERR2604095	391	4.14326230967968
ERR2604095	437	1.05777893277893
ERR2604095	527	1.04802478698683
ERR2604095	541	1.08243692548406
ERR2604095	690	1.03410655650884
ERR2604095	838	1.06273225977703
ERR2604096	3	1.06877897990726
ERR2604096	78	1.04078916464417
ERR2604096	97	1.02013958125623
ERR2604096	141	1.0289592760181
ERR2604096	277	1.07648725212465
ERR2604096	334	1.03625432683549
ERR2604096	349	1.03041543026706
ERR2604096	369	1.25826111798876
ERR2604096	391	3.08580831062925
ERR2604096	611	1.03364589078875
ERR2604097	16	1.03880470188359
ERR2604097	55	1.01686476068102
ERR2604097	97	1.01809473124002
ERR2604097	277	2.15251868494093
ERR2604097	369	1.02612118320611
ERR2604097	391	1.07355048237654
ERR2604097	527	1.05286423094272
ERR2604097	926	1.06660420747807
ERR2604098	3	1.06831861958266
ERR2604098	16	3.14032041499796
ERR2604098	45	1.04460453709381
ERR2604098	97	1.01939416328038
ERR2604098	241	1.05140271493213
ERR2604098	369	1.04168912848158
ERR2604098	454	1.05509336291366
ERR2604098	527	4.23271015515393
ERR2604098	658	1.01612013484523
ERR2604098	690	1.0301574466061
ERR2604098	757	1.08702816057519
ERR2604098	926	1.08535840761998
ERR2604099	3	1.12730706498412
ERR2604099	16	1.04675475533614
ERR2604099	31	1.10467930617184
ERR2604099	97	1.0675319407828
ERR2604099	210	1.07202505219207
ERR2604099	241	5.26703996472658
ERR2604099	334	3.13447124853209
ERR2604099	391	5.33109831461449
ERR2604099	433	1.09003788722977
ERR2604099	454	1.0604018311292
ERR2604099	527	1.09639316599873
ERR2604099	541	1.09881284916201
ERR2604099	847	1.05815641444384
ERR2604099	1026	1.04563758389262
ERR2604100	3	2.10129297720766
ERR2604100	31	1.08995488444895
ERR2604100	97	2.05982524717067
ERR2604100	133	1.05673378761197
ERR2604100	192	1.04152750645913
ERR2604100	195	1.15123078374045
ERR2604100	241	5.30730378966984
