sample	gcf_id	abund
SRR12042300	133	1.03985765124555
SRR12042300	241	3.60138441183925
SRR12042300	277	1.21096018735363
SRR12042300	334	4.24271133332196
SRR12042300	349	1.02168403266685
SRR12042300	391	2.17000777451132
SRR12042300	497	1.05996409335727
SRR12042300	527	2.3014111756352
SRR12042301	2	1.02824489795918
SRR12042301	241	2.11126280932506
SRR12042301	277	1.19076643755674
SRR12042301	334	2.08577233759995
SRR12042301	369	2.2528726991423
SRR12042301	391	1.06178144234119
SRR12042301	541	1.11218409697966
SRR12042302	14	1.08738148763562
SRR12042302	22	1.04816828173009
SRR12042302	97	3.12560211203299
SRR12042302	133	1.06082755723587
SRR12042302	195	1.18209940193854
SRR12042302	241	1.31111749497271
SRR12042302	249	1.02322727671137
SRR12042302	334	4.23822158611474
SRR12042302	349	1.03298402336368
SRR12042302	369	1.10223118618429
SRR12042302	391	4.52521803497919
SRR12042302	527	1.0676399026764
SRR12042302	541	1.15741417092768
SRR12042302	690	1.07627256464466
SRR12042303	143	1.01175767237943
SRR12042303	241	1.08060692271219
SRR12042303	334	2.0557243040457
SRR12042303	497	1.01892022174018
SRR12042303	541	1.21815046346195
SRR12042303	948	1.0297410776767
SRR12042304	133	1.02913043478261
SRR12042304	241	1.04575324461968
SRR12042304	334	4.14566008876513
SRR12042304	369	1.09098520792632
SRR12042304	391	3.25145659008662
SRR12042304	497	1.05661432365687
SRR12042304	527	1.13853184804342
SRR12042304	591	1.10070217502997
SRR12042305	241	1.05896624472574
SRR12042305	277	1.11394980782274
SRR12042305	391	3.17811784983442
SRR12042305	541	1.03793165145822
SRR12042305	800	1.04363219827137
SRR12042305	948	1.06017606096439
SRR12042305	1015	1.02714812862414
SRR12042306	334	1.05553705245629
SRR12042306	391	1.11040255081706
SRR12042306	800	1.05820833084324
SRR12042307	11	1.03291700712035
SRR12042307	16	1.03611075666709
SRR12042307	69	1.0249665998664
SRR12042307	97	1.02250748330647
SRR12042307	133	1.02679264820088
SRR12042307	334	1.02903074761979
SRR12042307	553	1.03913358563491
SRR12042307	613	1.02899596076168
SRR12042307	1109	1.02986857825568
SRR12042308	11	1.02964443334166
SRR12042308	16	1.02752682956406
SRR12042308	31	1.02407108239095
SRR12042308	97	2.05316991600628
SRR12042308	241	2.07675680651703
SRR12042308	259	1.0374724892853
SRR12042308	391	1.03229850306025
SRR12042308	613	1.04042314284026
SRR12042308	1109	1.03263572606108
SRR12042309	97	1.04779969650986
SRR12042309	334	1.02373505059798
SRR12042309	391	1.08120770432067
SRR12042310	97	1.03577488687783
SRR12042310	241	1.04045104707356
SRR12042310	277	1.09520718381478
SRR12042311	11	1.03117647058824
SRR12042311	97	3.08252917451413
SRR12042311	210	1.01961678832117
SRR12042311	277	1.08730033212083
SRR12042311	285	1.02400548696845
SRR12042311	334	1.06650671785029
SRR12042311	391	4.25246694918466
SRR12042311	527	1.02326480136033
SRR12042311	613	1.02852049910873
SRR12042311	883	1.01324570273003
SRR12042311	1026	1.05740378343118
SRR12042312	133	1.02940241576605
SRR12042312	195	1.04029942575882
SRR12042312	210	1.03987708638871
SRR12042312	241	3.25524246100788
SRR12042312	334	1.02161631048882
SRR12042312	369	1.18000687049124
SRR12042312	391	1.1566161760503
SRR12042313	11	1.03515162553502
SRR12042313	97	3.08236528923374
SRR12042313	133	1.01940955798402
SRR12042313	241	1.22130299896587
SRR12042313	277	1.06427503736921
SRR12042313	334	1.05425935973956
SRR12042313	391	1.08442797799484
SRR12042313	613	1.03874292550499
SRR12042313	1341	1.02003693444137
SRR12042314	11	1.03952657436356
SRR12042314	97	1.00987751876729
SRR12042314	133	1.02835356030502
SRR12042314	334	1.04817658349328
SRR12042314	369	1.1265583083478
SRR12042314	391	2.12777081530659
SRR12042314	396	1.05922949657291
SRR12042314	613	1.02538981647578
SRR12042314	948	1.03381424706943
SRR12042315	97	2.05835171799327
SRR12042315	259	1.02400738688827
SRR12042315	391	3.17124152217521
SRR12042315	527	2.14844571786955
SRR12042315	553	1.03410382720728
SRR12042315	613	1.03146391257356
SRR12042315	948	1.05063524212852
SRR12042315	1341	1.02780907204269
SRR12042316	334	2.09387337180706
SRR12042316	391	2.14217780433997
SRR12042316	412	1.04815781839281
SRR12042316	527	1.0930424828288
SRR12042316	948	2.10995402292
SRR12042317	97	1.05458901968955
SRR12042317	277	1.09505656665027
SRR12042317	334	1.0418905950096
SRR12042317	391	1.06224066390041
SRR12042317	527	1.11076414401176
SRR12042317	948	1.05752516010979
SRR12042318	3	1.08833772190606
SRR12042318	97	1.03753433018004
SRR12042318	241	2.19982438830182
SRR12042318	334	1.04798215955687
SRR12042318	396	1.05876639145216
SRR12042318	527	1.1163012392755
SRR12042318	948	1.06545223469604
SRR12042319	97	1.03446418955304
SRR12042319	241	1.04708935854653
SRR12042319	277	1.10590578455144
SRR12042319	334	2.0575666372733
SRR12042319	391	2.14025577608351
SRR12042319	396	1.0587567950839
SRR12042319	948	1.05180433039294
SRR12042320	241	1.06006006006006
SRR12042320	277	1.08223180743008
SRR12042320	302	1.04167183430485
SRR12042320	334	2.07273028112895
SRR12042320	396	1.05749744717618
SRR12042321	334	2.08662008044523
SRR12042321	391	2.08822903963862
SRR12042321	396	1.06064333017975
SRR12042321	527	1.09333582228859
SRR12042321	948	1.08764000786009
SRR12042322	3	2.04577940535362
SRR12042322	14	1.06191369606004
SRR12042322	97	1.01852967761374
SRR12042322	241	1.02713687985655
SRR12042322	321	1.23961785923182
SRR12042322	334	7.34586977434897
SRR12042322	391	6.25608806206626
SRR12042322	420	1.04009049773756
SRR12042322	534	1.04014526246286
SRR12042322	612	1.04743833017078
SRR12042322	690	2.03997200265213
SRR12042322	1015	1.02766323024055
SRR12042323	3	1.12939521800281
SRR12042323	16	1.03591429267105
SRR12042323	133	1.01066764759978
SRR12042323	241	1.07888723298559
SRR12042323	277	1.14318988464951
SRR12042323	369	1.21439562318345
SRR12042324	3	2.0519238101964
SRR12042324	31	2.11362533167432
SRR12042324	51	2.08512120592414
SRR12042324	97	1.0191465526021
SRR12042324	241	3.25929546789164
SRR12042324	286	1.03291814946619
SRR12042324	334	9.46245613756685
SRR12042324	391	6.40760888002761
SRR12042324	396	1.06087575649697
SRR12042324	420	1.03894755063182
SRR12042324	489	1.07606140229567
SRR12042324	497	1.07836576975637
SRR12042324	534	1.04248016403673
SRR12042324	541	3.14678551579764
SRR12042324	595	1.05912162162162
SRR12042324	612	1.04728152101401
SRR12042324	690	2.07413025829937
SRR12042324	742	1.01483516483516
SRR12042324	769	1.04591285559957
SRR12042324	796	1.04302832244009
SRR12042324	1015	1.03114013058764
SRR12042325	51	1.05692546146259
SRR12042325	78	1.23920421299005
SRR12042325	122	1.08531380347269
SRR12042325	241	3.23680685108501
SRR12042325	334	12.5651915026629
SRR12042325	338	1.04896055954925
SRR12042325	342	1.05899256254226
SRR12042325	391	5.4781043912158
SRR12042325	396	1.10848794297558
SRR12042325	541	1.10365398956003
SRR12042325	690	2.10414800972383
SRR12042325	742	1.01470862036865
SRR12042325	853	1.03183661575075
SRR12042325	948	2.1450518568073
SRR12042326	11	1.03458887247661
SRR12042326	16	1.03356956359567
SRR12042326	97	3.06642379723074
SRR12042326	259	1.03054221002059
SRR12042326	334	3.11104218710388
SRR12042326	391	4.14732560752501
SRR12042326	396	1.06627274875916
SRR12042326	527	1.02161100196464
SRR12042326	553	1.03172620534599
SRR12042326	613	1.03551486493284
SRR12042326	690	1.03703703703704
SRR12042326	883	2.05532455510636
SRR12042326	1015	1.02786164723868
SRR12042327	11	1.03171270718232
SRR12042327	97	5.10742401862329
SRR12042327	241	2.05358204164576
SRR12042327	259	1.02769409038239
SRR12042327	334	2.07981046698748
SRR12042327	391	4.26627333747017
SRR12042327	396	1.0730796502009
SRR12042327	553	1.03076666295761
SRR12042327	613	1.02225766190542
SRR12042327	618	1.02314843317121
SRR12042327	809	1.02542534888167
SRR12042327	948	1.03641110195109
SRR12042327	1015	1.02375838926175
SRR12042328	16	2.06325730116123
SRR12042328	97	3.04884983379303
SRR12042328	334	5.23821522854721
SRR12042328	391	3.25888298571301
SRR12042328	396	1.07407232332782
SRR12042328	497	1.0347769936811
SRR12042328	527	1.01918577445016
SRR12042328	553	1.0370522848909
SRR12042328	1015	1.02226993865031
SRR12042329	334	1.04406323578877
SRR12042329	391	1.06636155606407
SRR12042329	541	1.31667537898589
SRR12042330	241	1.17804036112586
SRR12042330	277	1.06742857142857
SRR12042330	948	1.05776502803495
SRR12042331	97	1.04186655037069
SRR12042331	131	1.06541663163205
SRR12042331	241	3.29410599538077
SRR12042331	277	1.17576419213974
SRR12042331	391	1.08597235825443
SRR12042331	497	1.0561716051627
SRR12042331	527	1.16501792114695
SRR12042331	541	1.06768
SRR12042331	948	1.09180001531276
SRR12042331	1015	1.04619736015085
SRR12042332	3	1.12759100563979
SRR12042332	220	1.03555723674878
SRR12042332	241	2.14933444519083
SRR12042332	277	1.15966620305981
SRR12042332	334	2.1489072672799
SRR12042332	465	1.02890328236096
SRR12042332	541	1.031708749266
SRR12042332	874	1.04710632570659
SRR12042332	948	2.17180791987331
SRR12042333	97	1.04043071921983
SRR12042333	220	1.02973456838172
SRR12042333	334	1.02801788375559
SRR12042333	391	3.43479115491326
SRR12042333	465	1.03123198154911
SRR12042333	527	1.18404339772427
SRR12042333	541	1.16634325140147
SRR12042333	553	1.39328699779624
SRR12042333	690	1.03286992132773
SRR12042333	874	1.04695678181546
SRR12042333	948	1.02489542911858
SRR12042334	157	1.06514701915295
SRR12042334	241	1.05475567190227
SRR12042334	342	1.06083010028548
SRR12042334	454	1.05626098847431
SRR12042334	541	1.05952086935046
SRR12042335	97	1.12394659596629
SRR12042335	241	1.34533111310362
SRR12042335	284	1.02674116942726
SRR12042335	334	1.08758799555391
SRR12042335	391	2.23379262039162
SRR12042335	874	1.04386072083079
SRR12042335	948	1.08005044439106
SRR12042336	13	1.03050126747894
SRR12042336	16	1.05075845974329
SRR12042336	97	1.05270594884838
SRR12042336	241	1.11401936177842
SRR12042336	334	1.04121880998081
SRR12042336	391	2.49561796527627
SRR12042336	874	1.02755436401549
SRR12042337	97	1.10238374364986
SRR12042337	241	4.12612337488589
SRR12042337	277	1.13645400325321
SRR12042337	334	5.26070690590559
SRR12042337	369	1.1259204712813
SRR12042337	391	6.72049317180781
SRR12042337	948	1.02869669190913
SRR12042338	16	1.04561939301393
SRR12042338	97	1.04769724565201
SRR12042338	241	2.19402607764569
SRR12042338	334	3.10710185855603
SRR12042338	338	1.09004651162791
SRR12042338	369	2.20796459918081
SRR12042338	391	2.2280355050862
SRR12042338	396	1.04755376979437
SRR12042338	527	1.11327188940092
SRR12042338	948	1.08035237586759
SRR12042339	241	1.05221882172915
SRR12042339	302	1.04489308009032
SRR12042339	334	3.09304707908548
SRR12042339	391	4.16755510668504
SRR12042339	527	1.0434
SRR12042339	800	1.05534204458109
SRR12042339	948	2.06381916844825
SRR12042339	1045	1.01285226900967
SRR12042340	131	1.25316877918612
SRR12042340	241	1.1043771043771
SRR12042340	334	2.15022990862942
SRR12042340	391	2.22649008651325
SRR12042340	465	1.03593709939321
SRR12042340	874	1.02572154927471
SRR12042340	883	1.01208114884887
SRR12042340	948	1.03265383163458
SRR12042341	97	1.0934249628529
SRR12042341	122	1.022306108442
SRR12042341	241	1.05241821438673
SRR12042341	277	1.20021941854087
SRR12042341	334	1.04584010106479
SRR12042341	391	2.2240399227868
SRR12042341	967	1.02800597460792
SRR12042342	334	3.18219747814408
SRR12042342	391	4.35668604919105
SRR12042342	527	1.11843521952387
SRR12042342	591	1.12219996357676
SRR12042343	97	1.03815014720314
SRR12042343	133	1.03872619619139
SRR12042343	158	1.04316271963331
SRR12042343	241	1.31999496665408
SRR12042343	334	2.13149880462112
SRR12042343	342	1.16902220940294
SRR12042343	391	2.21438313947035
SRR12042343	527	2.27417387571759
SRR12042343	690	1.04754399789861
SRR12042343	874	1.02527291760132
SRR12042343	948	1.05749565888482
SRR12042344	241	2.38779165950937
SRR12042344	334	3.16983762162424
SRR12042344	369	1.11164084227255
SRR12042344	391	3.36276494442663
SRR12042344	527	1.19947561615102
SRR12042344	948	1.06775157754899
SRR12042345	241	1.08841259209645
SRR12042345	277	1.09881337648328
SRR12042345	334	1.11232957913456
SRR12042345	391	2.10227854473675
SRR12042345	527	1.16782345613098
SRR12042345	541	1.44755685398408
SRR12042345	874	1.03559144608943
SRR12042346	80	1.02975880617734
SRR12042346	241	1.10755663150614
SRR12042346	369	1.10473340587595
SRR12042346	391	3.64191537546693
SRR12042346	527	1.07364608485685
SRR12042346	874	1.0564447159438
