sample	bgc_class	abund
SRR12042338	arylpolyene	2.09552238458599
SRR12042338	hserlactone	1.09004651162791
SRR12042338	terpene	13.99127033833
SRR12042339	arylpolyene	3.07667143745793
SRR12042339	nucleoside	1.05534204458109
SRR12042339	terpene	11.4333892198651
SRR12042340	NRPS	1.02572154927471
SRR12042340	NRPS-like	1.01208114884887
SRR12042340	T3PKS	1.03593709939321
SRR12042340	arylpolyene	1.03265383163458
SRR12042340	terpene	7.77499575814545
SRR12042341	T1PKS	1.02800597460792
SRR12042341	T3PKS	1.022306108442
SRR12042341	arylpolyene	1.01585609593604
SRR12042341	betalactone	1.20021941854087
SRR12042341	terpene	5.41572320109122
SRR12042342	terpene	9.77951871043575
SRR12042343	NRPS	1.02527291760132
SRR12042343	NRPS-like	1.03872619619139
SRR12042343	RRE-containing	1.04316271963331
SRR12042343	arylpolyene	1.05749565888482
SRR12042343	terpene	11.1947671409678
SRR12042344	arylpolyene	1.06775157754899
SRR12042344	terpene	11.2315106839838
SRR12042345	NRPS	1.03559144608943
SRR12042345	betalactone	1.09881337648328
SRR12042345	terpene	6.91840102608282
SRR12042346	NRPS	1.0564447159438
SRR12042346	terpene	7.95761030388321
